,Title,Artist,URI
8,again,lenny kravitz,
9,independent women,destiny’s child,
22,survivor,destiny’s child,
26,the way you love me,faith hill,
35,crazy,k-ci and jojo,
39,case of the ex (whatcha gonna do),mya,
41,bootylicious,destiny’s child,
50,this i promise you,‘n sync,
64,the space between,dave matthews band,
65,there you’ll be,faith hill,
70,ain’t nothing `bout you,brooks and dunn,
73,my baby,lil’ romeo,
80,contagious,isley brothers,
91,get over yourself,eden’s crush,
98,hero,enrique iglesias,
105,a thousand miles,vanessa carlton,
114,i need a girl (part one),p. diddy feat. usher and loon,
117,i need a girl (part two),"p. diddy and ginuwine feat. loon, mario winans and tammy ruggeri",
153,work it,missy “misdemeanor” elliott,
168,if i could go!,angie martinez feat. lil’ mo and sacario,
172,luv u better,ll cool j,
174,gone,‘n sync,
177,here is gone,goo goo dolls,
190,a new day has come,celine dion,
196,long time gone,dixie chicks,
219,magic stick,lil’ kim feat. 50 cent,
232,no letting go,wayne wonder,
234,landslide,dixie chicks,
246,this is the night,clay aiken,
263,my love is like… wo,mya,
268,angel,amanda perez,
285,red dirt road,brooks and dunn,
294,i want you,thalia feat. fat joe,
303,this love,maroon5,
317,naughty girl,beyonce,
325,"me, myself, and i",beyonce,
347,toxic,britney spears,
357,lose my breath,destiny’s child,
382,everytime,britney spears,
434,listen to your heart,d.h.t.,
446,slow down,bobby valentino,
450,play,david banner,
460,she will be loved,maroon5,
465,cater 2 u,destiny’s child,
497,mississippi girl,faith hill,
506,crazy,gnarls barkley,
515,run it!,chris brown,
543,yo (excuse me miss),chris brown,
568,gimme that,chris brown feat. lil’ wayne,
585,say goodbye,chris brown,
599,for you i will (condience),teddy geiger,
600,irreplaceable,beyonce,
606,hey there delilah,plain white t’s,
690,snow (hey oh),red hot chili peppers,
737,bust it baby part 2,plies feat. ne-yo,
742,a milli,lil wayne,
775,crush,david archuleta,
792,you’re gonna miss this,trace adkins,
807,single ladies (put a ring on it),beyonce,
823,halo,beyonce,
826,circus,britney spears,
838,womanizer,britney spears,
847,if i were a boy,beyonce,
865,sweet dreams,beyonce,
873,if u seek amy,britney spears,
880,chicken fried,zac brown band,
881,diva,beyonce,
886,3,britney spears,
893,whatever it is,zac brown band,
896,say hey (i love you),michael franti and spearhead feat. cherine anderson,
900,tik tok,ke$ha,
927,your love is my drug,ke$ha,
938,haven’t met you yet,michael buble,
947,live like we’re dying,kris allen,
958,take it off,ke$ha,
976,naturally,selena gomez and the scene,
977,un-thinkable (i’m ready),alicia keyes,
991,if i die young,the band perry,
996,smile,uncle kraker,
998,try sleeping with a broken heart,alicia keyes,
1006,f**k you (forget you),cee lo green,
1022,how to love,lil wayne,
1029,we r who we r,ke$ha,
1032,blow,ke$ha,
1077,who says,selena gomez & the scene,
1085,best thing i never had,beyonce,
1089,take a back road,rodney atkins,
1141,feel so close,calvin harris,
1151,wanted,hunter hayes,
1154,want u back,cher lloyd,
1155,don’t wake me up,chris brown,
1183,turn up the music,chris brown,
1184,die young,ke$ha,
1194,hard to love,lee brice,
1198,even if it breaks your heart,eli young band,
1264,i want crazy,hunterhayes ,
1274,next to me,emeli sande ,
1275,c’mon,ke$ha ,
1276,bad,wale featuring tiara thomas ,
1280,bad,wale featuring tiara thomas or rihanna ,
1331,summer,calvin harris,
1333,drunk in love,beyonce feat. jay z,
1352,hot boy,bobby shmurda,
1393,partition,beyonce,
1396,i don’t dance,lee brice,
1406,watch me,silento,
1407,earned it (fifty shades of grey),weeknd,
1408,the hills,weeknd,
1410,can’t feel my face,weeknd,
1459,11-jul,beyonce,
1536,i hate u i love u,gnash feat. olivia o’brien,
1559,in the night,weeknd,
1565,unsteady,x ambassadors,
1566,sucker for pain,"lil wayne, wi",
1569,sorry,beyonce,
1574,lost boy,ruth b,
1586,watch me,silento,
1587,back to sleep,chris brown,
1622,bodak yellow (money moves),cardi b,
1658,caroline,amine,
1688,down,marian hill,
1854,the git up,blanco brown,
1992,p*$$y fairy (otw),jhene aiko,
